,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,trialScore,cumulativeScore,cumulativeBonus,eventType,practice
6,5f5822121034572e66881016,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599611410582.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,Pi,C,5.0,0,1,1,100,575,1.35,endTrial,False
7,5f5822751034572e66881034,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599611509892.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,L,Pi,6.0,0,2,1,100,675,1.6,endTrial,False
8,5f5822f01034572e66881053,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599611632648.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,C,Pi,7.0,0,2,1,100,775,1.85,endTrial,False
9,5f5823391034572e6688106f,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599611705980.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,L,C,8.0,0,2,1,100,875,2.1,endTrial,False
10,5f5823781034572e6688107e,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599611768591.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,Pi,C,9.0,0,3,1,100,975,2.35,endTrial,False
11,5f5823bb1034572e66881091,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599611835207.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,C,L,10.0,0,3,1,100,1075,2.6,endTrial,False
12,5f5823ef1034572e668810a2,pilot4b,0738-513adaa7-2548-44a4-8d01-7e2fb3ecbfd4,1599611887271.0,3TVRFO09GOFX1PNV0JZB12R9V6ZXLN,Pi,L,11.0,0,3,1,100,1175,2.85,endTrial,False
0,5f5816091034572e66880c62,pilot4b,1365-1fb4edd2-7f85-4cc2-ac87-8770467a91d7,1599608329663.0,3IX2EGZR7FJ793DJOZH6W5STQ0SJRU,horizontal,vertical,,0,practice,1,25,0,0.0,endTrial,True
1,5f5816861034572e66880c71,pilot4b,1365-1fb4edd2-7f85-4cc2-ac87-8770467a91d7,1599608454724.0,3IX2EGZR7FJ793DJOZH6W5STQ0SJRU,horizontal,vertical,,0,practice,1,50,0,0.0,endTrial,True
2,5f5816e71034572e66880c89,pilot4b,1365-1fb4edd2-7f85-4cc2-ac87-8770467a91d7,1599608551716.0,3IX2EGZR7FJ793DJOZH6W5STQ0SJRU,horizontal,vertical,,0,practice,1,100,0,0.0,endTrial,True
