,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,trialScore,cumulativeScore,cumulativeBonus,eventType,practice
10,5f4ff8231034572e6687fd9c,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599076387271.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,L,Pi,8.0,0,2,1,31,335,0.0,endTrial,False
11,5f4ff87e1034572e6687fda7,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599076478962.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,Pi,L,9.0,0,3,1,43,378,0.0,endTrial,False
12,5f4ff8ac1034572e6687fdb1,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599076524633.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,Pi,C,10.0,0,3,1,37,415,0.0,endTrial,False
13,5f4ff8ea1034572e6687fdbb,pilot4,2299-81bf7587-5407-4d48-852c-8a98d73da3a6,1599076586182.0,39LOEL67OW5Q6KWYM5JJPHGZ3ZW83K,C,L,11.0,0,3,1,31,446,0.0,endTrial,False
0,5f4fed5a1034572e6687fc07,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599073626987.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,vertical,horizontal,,0,practice,1,100,0,0.0,endTrial,True
1,5f4feec61034572e6687fc6d,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599073990812.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,L,C,0.0,0,0,1,87,87,0.15,endTrial,False
2,5f4fef9f1034572e6687fc9c,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599074207860.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,C,Pi,1.0,0,0,1,100,187,0.4,endTrial,False
3,5f4ff0561034572e6687fcd0,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599074390522.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,L,Pi,2.0,0,0,1,100,287,0.65,endTrial,False
4,5f4ff10e1034572e6687fceb,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599074574836.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,Pi,C,3.0,0,1,1,81,368,0.8,endTrial,False
5,5f4ff1b21034572e6687fcfc,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599074738399.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,C,L,4.0,0,1,1,100,468,1.05,endTrial,False
6,5f4ff21a1034572e6687fd0b,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599074842482.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,Pi,L,5.0,0,1,1,100,568,1.3,endTrial,False
7,5f4ff27f1034572e6687fd1a,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599074943163.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,L,C,6.0,0,2,1,100,668,1.55,endTrial,False
8,5f4ff2d01034572e6687fd29,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599075024899.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,C,Pi,7.0,0,2,1,100,768,1.8,endTrial,False
9,5f4ff3141034572e6687fd33,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599075092039.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,L,Pi,8.0,0,2,1,93,861,1.95,endTrial,False
10,5f4ff3651034572e6687fd3d,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599075173110.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,C,L,9.0,0,3,1,100,961,2.2,endTrial,False
11,5f4ff3ac1034572e6687fd49,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599075244801.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,Pi,C,10.0,0,3,1,100,1061,2.45,endTrial,False
12,5f4ff3dd1034572e6687fd53,pilot4,4244-cb63e4ee-2692-4273-8dcb-45c1cde2496a,1599075293448.0,3Y54SXRO1PLT3Y154NQF3M2MUP0UT2,Pi,L,11.0,0,3,1,56,1117,2.45,endTrial,False
0,5f517fbf1034572e6688037f,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599176639578.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,horizontal,vertical,,0,practice,0,50,0,0.0,endTrial,True
1,5f5180ce1034572e66880384,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599176910479.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,horizontal,vertical,,0,practice,0,50,0,0.0,endTrial,True
2,5f5181021034572e66880388,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599176962839.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,horizontal,vertical,,0,practice,0,100,0,0.0,endTrial,True
3,5f5183951034572e6688039a,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599177621182.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,L,C,0.0,0,0,0,87,87,0.15,endTrial,False
4,5f5185841034572e668803ab,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599178116918.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,L,Pi,1.0,0,0,0,100,187,0.4,endTrial,False
5,5f5186871034572e668803ba,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599178375266.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,C,Pi,2.0,0,0,0,100,287,0.65,endTrial,False
6,5f51872e1034572e668803c6,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599178542945.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,Pi,C,3.0,0,1,0,100,387,0.9,endTrial,False
7,5f5187e51034572e668803d3,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599178725528.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,Pi,L,4.0,0,1,0,100,487,1.14,endTrial,False
8,5f51885d1034572e668803de,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599178845835.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,C,L,5.0,0,1,0,100,587,1.4,endTrial,False
9,5f5188a71034572e668803e8,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599178919880.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,L,C,6.0,0,2,0,100,687,1.65,endTrial,False
10,5f5189021034572e668803f2,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599179010100.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,L,Pi,7.0,0,2,0,56,743,1.65,endTrial,False
11,5f5189f51034572e668803fe,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599179253216.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,C,Pi,8.0,0,2,0,56,799,1.65,endTrial,False
12,5f518ae21034572e6688040c,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599179490693.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,Pi,C,9.0,0,3,0,18,817,1.65,endTrial,False
13,5f518b411034572e66880416,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599179585786.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,C,L,10.0,0,3,0,100,917,1.9,endTrial,False
14,5f518ba11034572e66880421,pilot4,4334-7f719cb4-3b13-45f8-881a-d0cb421d5356,1599179681342.0,3907X2AHF45MRUZW4M7PST6XM7V2PA,Pi,L,11.0,0,3,0,56,973,1.9,endTrial,False
0,5f5157141034572e6687fec3,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599166228226.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,horizontal,vertical,,0,practice,0,25,0,0.0,endTrial,True
1,5f5157931034572e6687fed6,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599166355959.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,horizontal,vertical,,0,practice,0,100,0,0.0,endTrial,True
2,5f5159871034572e6687ff1e,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599166855922.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,L,Pi,0.0,0,0,0,75,75,0.1,endTrial,False
3,5f515b1a1034572e6687ff71,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599167258914.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,C,Pi,1.0,0,0,0,75,150,0.2,endTrial,False
4,5f515bf21034572e6687ffb5,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599167474624.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,L,C,2.0,0,0,0,100,250,0.45,endTrial,False
5,5f515d021034572e66880002,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599167746024.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,Pi,L,3.0,0,1,0,100,350,0.7,endTrial,False
6,5f515e111034572e66880064,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599168017539.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,Pi,C,4.0,0,1,0,100,450,0.95,endTrial,False
7,5f515f121034572e668800cf,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599168274963.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,C,L,5.0,0,1,0,100,550,1.2,endTrial,False
8,5f515fc41034572e6688010d,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599168452496.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,C,Pi,6.0,0,2,0,87,637,1.35,endTrial,False
9,5f5160721034572e6688014d,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599168626961.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,L,C,7.0,0,2,0,100,737,1.6,endTrial,False
10,5f5161571034572e66880198,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599168855043.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,L,Pi,8.0,0,2,0,100,837,1.85,endTrial,False
11,5f51628d1034572e668801e5,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599169165056.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,Pi,L,9.0,0,3,0,100,937,2.09,endTrial,False
12,5f51640a1034572e6688023d,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599169546487.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,C,L,10.0,0,3,0,100,1037,2.34,endTrial,False
13,5f5164d41034572e6688027d,pilot4,4548-d4f8915b-8223-4cc4-b5b4-889e40eb849f,1599169748511.0,33TIN5LC08AR0SCWGIINF77NWHD9Y6,Pi,C,11.0,0,3,0,100,1137,2.59,endTrial,False
0,5f515a7b1034572e6687ff46,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599167099300.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,vertical,horizontal,,0,practice,0,50,0,0.0,endTrial,True
1,5f515abc1034572e6687ff54,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599167164435.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,vertical,horizontal,,0,practice,0,100,0,0.0,endTrial,True
2,5f515bfb1034572e6687ffb7,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599167483743.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,L,C,0.0,0,0,0,100,100,0.25,endTrial,False
3,5f515ccf1034572e6687fff2,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599167695256.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,C,Pi,1.0,0,0,0,100,200,0.5,endTrial,False
4,5f515d7d1034572e66880029,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599167869820.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,L,Pi,2.0,0,0,0,100,300,0.75,endTrial,False
5,5f515de81034572e66880056,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599167976792.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,Pi,L,3.0,0,1,0,100,400,1.0,endTrial,False
6,5f515e681034572e6688008b,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599168104478.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,Pi,C,4.0,0,1,0,100,500,1.25,endTrial,False
7,5f515ec91034572e668800b3,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599168201960.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,C,L,5.0,0,1,0,100,600,1.5,endTrial,False
8,5f515f2d1034572e668800d6,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599168301151.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,L,Pi,6.0,0,2,0,100,700,1.75,endTrial,False
9,5f515f7d1034572e668800ec,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599168381614.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,L,C,7.0,0,2,0,100,800,2.0,endTrial,False
10,5f515fb01034572e66880101,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599168432232.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,C,Pi,8.0,0,2,0,93,893,2.15,endTrial,False
11,5f515fed1034572e66880119,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599168493456.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,C,L,9.0,0,3,0,100,993,2.4,endTrial,False
12,5f5160361034572e66880133,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599168566342.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,Pi,C,10.0,0,3,0,100,1093,2.65,endTrial,False
13,5f5160831034572e6688014f,pilot4,4978-4c585194-1823-46fc-989c-e6200c5d61e6,1599168643665.0,35GMH2SV3IHW1AZBI6PB5UAW94UOEK,Pi,L,11.0,0,3,0,100,1193,2.9,endTrial,False
0,5f4fe4061034572e6687f9dd,pilot4,6064-78a665ff-7528-45c6-91d1-960cc9647fa6,1599071238182.0,3MB8LZR5BJTRHPOO10KMB8J7YL3LKG,vertical,horizontal,,0,practice,0,100,0,0.0,endTrial,True
1,5f4fe5341034572e6687fa18,pilot4,6064-78a665ff-7528-45c6-91d1-960cc9647fa6,1599071540491.0,3MB8LZR5BJTRHPOO10KMB8J7YL3LKG,L,C,0.0,0,0,0,43,43,0.0,endTrial,False
2,5f4fe6571034572e6687fa50,pilot4,6064-78a665ff-7528-45c6-91d1-960cc9647fa6,1599071831167.0,3MB8LZR5BJTRHPOO10KMB8J7YL3LKG,L,Pi,1.0,0,0,0,100,143,0.25,endTrial,False
3,5f4fe7601034572e6687fa7e,pilot4,6064-78a665ff-7528-45c6-91d1-960cc9647fa6,1599072096151.0,3MB8LZR5BJTRHPOO10KMB8J7YL3LKG,C,Pi,2.0,0,0,0,93,236,0.4,endTrial,False
